
Symbol table '.dynsym' contains 2245 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
    98: 0000000000108d20    33 FUNC    WEAK   DEFAULT   13 shmget@@GLIBC_2.2.5
    99: 00000000000746c0   466 FUNC    GLOBAL DEFAULT   13 _IO_wdo_write@@GLIBC_2.2.5
   100: 000000000006b2c0    46 FUNC    GLOBAL DEFAULT   13 getw@@GLIBC_2.2.5
   101: 00000000000fd880   496 FUNC    GLOBAL DEFAULT   13 gethostid@@GLIBC_2.2.5
   102: 000000000003a4d0    17 FUNC    GLOBAL DEFAULT   13 __cxa_at_quick_exit@@GLIBC_2.10
   103: 0000000000096550   516 FUNC    GLOBAL DEFAULT   13 __rawmemchr@@GLIBC_2.2.5
   104: 000000000006b3c0    92 FUNC    WEAK   DEFAULT   13 flockfile@@GLIBC_2.2.5
   105: 00000000000b9f00    99 FUNC    WEAK   DEFAULT   13 wcsncasecmp_l@@GLIBC_2.3
   106: 00000000000969e0    43 FUNC    WEAK   DEFAULT   13 argz_add@@GLIBC_2.2.5
   107: 0000000000107ac0    33 FUNC    GLOBAL DEFAULT   13 inotify_init1@@GLIBC_2.9
   108: 0000000000115c10   663 FUNC    GLOBAL DEFAULT   13 __backtrace_symbols@@GLIBC_2.2.5
   109: 000000000007a9d0   733 FUNC    GLOBAL DEFAULT   13 _IO_un_link@@GLIBC_2.2.5
   110: 00000000000766d0   343 FUNC    WEAK   DEFAULT   13 vasprintf@@GLIBC_2.2.5
   111: 00000000000adb30    16 FUNC    GLOBAL DEFAULT   13 __wcstod_internal@@GLIBC_2.2.5
   112: 0000000000134330   574 FUNC    GLOBAL DEFAULT   13 authunix_create@@GLIBC_2.2.5
   113: 000000000010a310    91 FUNC    GLOBAL DEFAULT   13 _mcount@@GLIBC_2.2.5
   114: 00000000001187f0    53 FUNC    GLOBAL DEFAULT   13 __wcstombs_chk@@GLIBC_2.4
   115: 00000000000ac850    55 IFUNC   GLOBAL DEFAULT   13 wmemcmp@@GLIBC_2.2.5
   116: 0000000000124f00   374 FUNC    GLOBAL DEFAULT   13 __netlink_assert_response@@GLIBC_PRIVATE
   117: 00000000000bb900    10 FUNC    WEAK   DEFAULT   13 gmtime_r@@GLIBC_2.2.5
   118: 00000000000f6ee0    33 FUNC    WEAK   DEFAULT   13 fchmod@@GLIBC_2.2.5
   119: 00000000001168a0   483 FUNC    GLOBAL DEFAULT   13 __printf_chk@@GLIBC_2.3.4
   120: 0000000000076bd0   384 FUNC    WEAK   DEFAULT   13 obstack_vprintf@@GLIBC_2.2.5
   121: 0000000000035860   305 FUNC    WEAK   DEFAULT   13 sigwait@@GLIBC_2.2.5
   122: 00000000000c9d20   186 FUNC    GLOBAL DEFAULT   13 setgrent@@GLIBC_2.2.5
   123: 0000000000118410   446 FUNC    GLOBAL DEFAULT   13 __fgetws_chk@@GLIBC_2.4
   124: 00000000001151d0   364 FUNC    GLOBAL DEFAULT   13 __register_atfork@@GLIBC_2.3.2
   125: 000000000010b4c0    78 FUNC    WEAK   DEFAULT   13 iswctype_l@@GLIBC_2.3
   126: 000000000010aca0   133 FUNC    WEAK   DEFAULT   13 wctrans@@GLIBC_2.2.5
   127: 00000000000fd6c0    33 FUNC    GLOBAL DEFAULT   13 acct@@GLIBC_2.2.5
   128: 000000000003a030    21 FUNC    GLOBAL DEFAULT   13 exit@@GLIBC_2.2.5
   129: 000000000004d170 11503 FUNC    GLOBAL DEFAULT   13 _IO_vfprintf@@GLIBC_2.2.5
   130: 00000000000cca20   410 FUNC    GLOBAL DEFAULT   13 execl@@GLIBC_2.2.5
   131: 00000000000e7ac0    14 FUNC    WEAK   DEFAULT   13 re_set_syntax@@GLIBC_2.2.5
   132: 0000000000119350     5 FUNC    GLOBAL DEFAULT   13 htonl@@GLIBC_2.2.5
   133: 00000000000f4490  5527 FUNC    GLOBAL DEFAULT   13 wordexp@@GLIBC_2.2.5
   134: 000000000011bc60   197 FUNC    GLOBAL DEFAULT   13 endprotoent@@GLIBC_2.2.5
   135: 000000000011b8b0   548 FUNC    GLOBAL DEFAULT   13 getprotobynumber_r@@GLIBC_2.2.5
   136: 0000000000034760    53 FUNC    WEAK   DEFAULT   13 isinf@@GLIBC_2.2.5
   137: 000000000002dcf0    11 FUNC    GLOBAL DEFAULT   13 __assert@@GLIBC_2.2.5
   138: 0000000000077ef0     4 FUNC    GLOBAL DEFAULT   13 clearerr_unlocked@@GLIBC_2.2.5
   139: 00000000000d54e0   932 FUNC    GLOBAL DEFAULT   13 fnmatch@@GLIBC_2.2.5
   140: 0000000000130330    27 FUNC    GLOBAL DEFAULT   13 xdr_keybuf@@GLIBC_2.2.5
   141: 0000000000107500    25 FUNC    GLOBAL DEFAULT   13 gnu_dev_major@@GLIBC_2.3.3
   142: 000000000002dfd0    19 FUNC    GLOBAL DEFAULT   13 __islower_l@@GLIBC_2.2.5
   143: 00000000000c8420   248 FUNC    WEAK   DEFAULT   13 readdir@@GLIBC_2.2.5
   144: 000000000013bb30    50 FUNC    GLOBAL DEFAULT   13 xdr_uint32_t@@GLIBC_2.2.5
   145: 0000000000119360     7 FUNC    GLOBAL DEFAULT   13 htons@@GLIBC_2.2.5
   146: 00000000000cdc20   594 FUNC    WEAK   DEFAULT   13 pathconf@@GLIBC_2.2.5
   147: 0000000000036c70    79 FUNC    GLOBAL DEFAULT   13 sigrelse@@GLIBC_2.2.5
   148: 000000000003b2a0    70 FUNC    WEAK   DEFAULT   13 seed48_r@@GLIBC_2.2.5
   149: 000000000006bbe0  1422 FUNC    GLOBAL DEFAULT   13 psiginfo@@GLIBC_2.10
   150: 000000000012aa00  1438 FUNC    GLOBAL DEFAULT   13 __nss_hostname_digits_dot@@GLIBC_2.2.5
   151: 00000000000cc860    15 FUNC    GLOBAL DEFAULT   13 execv@@GLIBC_2.2.5
   152: 0000000000055940   143 FUNC    GLOBAL DEFAULT   13 sprintf@@GLIBC_2.2.5
   153: 0000000000076450   313 FUNC    GLOBAL DEFAULT   13 _IO_putc@@GLIBC_2.2.5
   154: 0000000000107bb0    33 FUNC    GLOBAL DEFAULT   13 nfsservctl@@GLIBC_2.2.5
   155: 0000000000097750   384 FUNC    GLOBAL DEFAULT   13 envz_merge@@GLIBC_2.2.5
   156: 00000000000c5090    27 FUNC    WEAK   DEFAULT   13 strftime_l@@GLIBC_2.3
   157: 000000000002ac20  2357 FUNC    GLOBAL DEFAULT   13 setlocale@@GLIBC_2.2.5
   158: 0000000000095aa0   652 FUNC    GLOBAL DEFAULT   13 memfrob@@GLIBC_2.2.5
   159: 00000000000acda0   530 FUNC    WEAK   DEFAULT   13 mbrtowc@@GLIBC_2.2.5
   160: 000000000003a8d0   142 FUNC    WEAK   DEFAULT   13 srand@@GLIBC_2.2.5
   161: 000000000010af00   121 FUNC    WEAK   DEFAULT   13 iswcntrl_l@@GLIBC_2.3
   162: 00000000001411d0   203 FUNC    WEAK   DEFAULT   13 getutid_r@@GLIBC_2.2.5
   163: 00000000000ccd60  1156 FUNC    WEAK   DEFAULT   13 execvpe@@GLIBC_2.11
   164: 000000000010a500   141 FUNC    WEAK   DEFAULT   13 iswblank@@GLIBC_2.2.5
   165: 0000000000088f10     2 FUNC    GLOBAL DEFAULT   13 tr_break@@GLIBC_2.2.5
   166: 0000000000115170    90 FUNC    GLOBAL DEFAULT   13 __libc_pthread_init@@GLIBC_PRIVATE
   167: 00000000001182c0   334 FUNC    GLOBAL DEFAULT   13 __vfwprintf_chk@@GLIBC_2.4
   168: 0000000000070930   147 FUNC    GLOBAL DEFAULT   13 fgetws_unlocked@@GLIBC_2.2.5
   169: 00000000000f7280    90 FUNC    WEAK   DEFAULT   13 __write@@GLIBC_2.2.5
   170: 00000000000fd560    96 FUNC    GLOBAL DEFAULT   13 __select@@GLIBC_2.2.5
   171: 000000000010aaf0    91 FUNC    WEAK   DEFAULT   13 towlower@@GLIBC_2.2.5
   172: 00000000000f8640   720 FUNC    WEAK   DEFAULT   13 ttyname_r@@GLIBC_2.2.5
   173: 000000000006dd70    10 FUNC    GLOBAL DEFAULT   13 fopen@@GLIBC_2.2.5
   174: 00000000000ef900   426 FUNC    GLOBAL DEFAULT   13 gai_strerror@@GLIBC_2.2.5
   175: 000000000010b9c0   471 FUNC    GLOBAL DEFAULT   13 fgetspent@@GLIBC_2.2.5
   176: 000000000008d870   524 FUNC    GLOBAL DEFAULT   13 strsignal@@GLIBC_2.2.5
   177: 00000000000ac190   251 FUNC    WEAK   DEFAULT   13 wcsncpy@@GLIBC_2.2.5
   178: 000000000008bb20    65 IFUNC   GLOBAL DEFAULT   13 strncmp@@GLIBC_2.2.5
   179: 000000000011b480   701 FUNC    GLOBAL DEFAULT   13 getnetbyname_r@@GLIBC_2.2.5
   180: 000000000011bd30   220 FUNC    GLOBAL DEFAULT   13 getprotoent_r@@GLIBC_2.2.5
   181: 0000000000139520   237 FUNC    GLOBAL DEFAULT   13 svcfd_create@@GLIBC_2.2.5
   182: 00000000000ff160    33 FUNC    WEAK   DEFAULT   13 ftruncate@@GLIBC_2.2.5
   183: 0000000000130460    97 FUNC    GLOBAL DEFAULT   13 xdr_unixcred@@GLIBC_2.2.5
   184: 0000000000030620    16 FUNC    WEAK   DEFAULT   13 dcngettext@@GLIBC_2.2.5
   185: 000000000012ccf0   107 FUNC    GLOBAL DEFAULT   13 xdr_rmtcallres@@GLIBC_2.2.5
